report_id,report_year,facility_id,jurisdiction_code,jurisdiction_facility_id,facility_name,registered_business_name,primary_anzsic_class_code,primary_anzsic_class_name,reduction_type,reduction_technique_id,reduction_technique_name,year_installed,comment_by_facility
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,"SAP, CMO, ACONEX"
550924,2022/2023,686658,WA,WA1723,Abra Base Metals Project,ABRA MINING PTY LIMITED,807,Silver-Lead-Zinc Ore Mining,Cleaner Production Activities,26,Installation of high-pressure/low-volume cleaning equipment,,Wheel washdown unit
550924,2022/2023,686658,WA,WA1723,Abra Base Metals Project,ABRA MINING PTY LIMITED,807,Silver-Lead-Zinc Ore Mining,Cleaner Production Activities,27,Installed overflow alarms or automatic shut-off valves,,All critical containment infrastructure is set up with level sensors
550924,2022/2023,686658,WA,WA1723,Abra Base Metals Project,ABRA MINING PTY LIMITED,807,Silver-Lead-Zinc Ore Mining,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,Routine inspections of all high-risk areas
550924,2022/2023,686658,WA,WA1723,Abra Base Metals Project,ABRA MINING PTY LIMITED,807,Silver-Lead-Zinc Ore Mining,Cleaner Production Activities,32,Dust suppression - water sprays/chemical suppression,,Water carts and sprays on processing areas
550924,2022/2023,686658,WA,WA1723,Abra Base Metals Project,ABRA MINING PTY LIMITED,807,Silver-Lead-Zinc Ore Mining,Cleaner Production Activities,34,Dust suppression - wind breaks/covered/enclosed stockpiles,,Fully enclosed concentrate shed
550924,2022/2023,686658,WA,WA1723,Abra Base Metals Project,ABRA MINING PTY LIMITED,807,Silver-Lead-Zinc Ore Mining,Cleaner Production Activities,35,Community consultative committee,,ECTL Committee with the local traditional owner group
551372,2022/2023,491976,NSW,630,Maclean Depot,ACCESS FUELS,3321,Petroleum Product Wholesaling,Pollution Control Devices,11,Wastewater treatment,2004.0,
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,24,"Modified process, equipment, layout, or piping",,"-Installation of a decanter and 2 flotation units in late 2017, providing the benefit of improving wine quality and saving on both warming and cooling processes
-Hot water CIP system established mid 2016 for export production area, reducing the volumes of both water and chemicals required for cleaning
"
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,Operate an ISO 14001 EMS including standard operating procedures and record keeping.
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Pollution Control Devices,11,Wastewater treatment,2006.0,The treatment plant in its current form and location has been operational since approximately 2006
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Pollution Control Devices,9,Activated carbon filter,2018.0,Used to treat incoming raw water
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,36,Other modifications / practices,,"-Wastewater treatment plant upgrade started March 2019, with scheduled completion by February 2020 - will result in higher quality wastewater
-Electric forklifts used where possible, including production areas to reduce LPG consumption. WWTP also includes a gas flare
-Site tap audits conducted throughout early 2018, on-going transition to ball valve taps to prevent leaks."
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,33,Use of cleaner raw materials,,"-New RWTP installed June 2018, supplying potable water to entire site. The better quality water will assist in improving multiple production and cleaning processes
"
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,Operate an ISO 14001 EMS including maintenance and monitoring scheduling
551226,2022/2023,522720,TAS,TAS 360,Bay of Fires,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,Operate an ISO 14001 EMS including maintenance and monitoring scheduling
551226,2022/2023,522720,TAS,TAS 360,Bay of Fires,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,Operate an ISO 14001 EMS including maintenance and monitoring scheduling
550274,2022/2023,516194,SA,SA0114,Hardy's Tintara Winery,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,Operate an ISO 14001 EMS including maintenance and monitoring scheduling
550274,2022/2023,516194,SA,SA0114,Hardy's Tintara Winery,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,Operate an ISO 14001 EMS including maintenance and monitoring scheduling
546484,2022/2023,500562,QLD,Q015ACE001,Ace Waste Pty Ltd,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Pollution Control Devices,14,Opacity monitor,1994.0,
546484,2022/2023,500562,QLD,Q015ACE001,Ace Waste Pty Ltd,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Pollution Control Devices,13,Mist eliminator,1994.0,"Mist eliminator packing exit of Fluidised Bed Scrubber, Chevron Mist Eliminator"
546484,2022/2023,500562,QLD,Q015ACE001,Ace Waste Pty Ltd,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Pollution Control Devices,11,Wastewater treatment,1994.0,Sludge Filter Press
546484,2022/2023,500562,QLD,Q015ACE001,Ace Waste Pty Ltd,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Pollution Control Devices,10,Incineration/afterburner,1994.0,
546484,2022/2023,500562,QLD,Q015ACE001,Ace Waste Pty Ltd,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,
546484,2022/2023,500562,QLD,Q015ACE001,Ace Waste Pty Ltd,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,27,Installed overflow alarms or automatic shut-off valves,,
546484,2022/2023,500562,QLD,Q015ACE001,Ace Waste Pty Ltd,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Pollution Control Devices,3,Wet scrubber,1994.0,
547774,2022/2023,524810,VIC,00004069,Dandenong,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Pollution Control Devices,10,Incineration/afterburner,2009.0,
547774,2022/2023,524810,VIC,00004069,Dandenong,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Pollution Control Devices,14,Opacity monitor,2009.0,
547774,2022/2023,524810,VIC,00004069,Dandenong,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,
547774,2022/2023,524810,VIC,00004069,Dandenong,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Pollution Control Devices,2,Fabric filter/baghouse,2009.0,
547774,2022/2023,524810,VIC,00004069,Dandenong,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Pollution Control Devices,9,Activated carbon filter,2009.0,Activated Carbon and Lime injection system for treatment of metals and acids.
550696,2022/2023,666598,QLD,Q020BEL001,Carmichael Coal Mine,ADANI MINING PTY LTD,600,Coal Mining,Pollution Control Devices,11,Wastewater treatment,2020.0,
550696,2022/2023,666598,QLD,Q020BEL001,Carmichael Coal Mine,ADANI MINING PTY LTD,600,Coal Mining,Cleaner Production Activities,32,Dust suppression - water sprays/chemical suppression,,Waters trucks used to apply water to roads/ Dust suppression sprays on conveyors and infeed hopper
550696,2022/2023,666598,QLD,Q020BEL001,Carmichael Coal Mine,ADANI MINING PTY LTD,600,Coal Mining,Cleaner Production Activities,27,Installed overflow alarms or automatic shut-off valves,,installed at Main diesel tank farm
550094,2022/2023,516452,SA,SA0134,Adchem (Australia) Pty Ltd,ADCHEM (AUSTRALIA) PTY. LTD.,1813,Basic Inorganic Chemical Manufacturing,Cleaner Production Activities,32,Dust suppression - water sprays/chemical suppression,,"During the reporting period, road maintenance was undertaken and a dust suppression program implemented. Watering of the roadways was undertaken at frequencies determined by a variety of factors, including meteorological conditions and traffic rate. A Site Dust Management Procedure under the Environmental Management System has been prepared and implemented."
550094,2022/2023,516452,SA,SA0134,Adchem (Australia) Pty Ltd,ADCHEM (AUSTRALIA) PTY. LTD.,1813,Basic Inorganic Chemical Manufacturing,Cleaner Production Activities,34,Dust suppression - wind breaks/covered/enclosed stockpiles,,"During the reporting period, 2370L of dust suppressant was applied to the internal roadways"
