report_id,report_year,facility_id,jurisdiction_code,jurisdiction_facility_id,facility_name,registered_business_name,primary_anzsic_class_code,primary_anzsic_class_name,substance_id,substance_sort_order,substance_name,air_point_emission_kg,air_point_eet,air_fugitive_emission_kg,air_fugitive_eet,air_total_emission_kg,water_emission_kg,water_eet,land_emission_kg,land_eet,suburb,state,postcode,latitude,longitude,pivot_facility_name
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,64,65,Nickel & compounds,,,,,,,,1.79176,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,69,70,Oxides of Nitrogen,20371,___4_,,,20371,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,92,71,Particulate Matter ?2.5 µm (PM2.5),387.048,___4_,,,387.048,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,70,72,Particulate Matter ?10.0 µm (PM10),407.419,___4_,,,407.419,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,71,73,Phenol,,,,,,,,4.00511,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,73,76,Polychlorinated dioxins and furans (TEQ),,,,,,,,3.37E-06,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,74,77,Polycyclic aromatic hydrocarbons (B[a]Peq),,,,,,,,0.00263494,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,76,79,Styrene (ethenylbenzene),,,2.6518,___4_,2.6518,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,77,80,Sulfur dioxide,268.182,___4_,,,268.182,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,80,83,Tetrachloroethylene,,,22.1154,___4_,22.1154,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,81,84,Toluene (methylbenzene),,,168.369,___4_,168.369,,,4.3213,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,85,88,Total Volatile Organic Compounds,,,2776.2,___4_,2776.2,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,86,89,"1,1,2-Trichloroethane",,,1.38478,___4_,1.38478,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,87,90,Trichloroethylene,,,7.14706,___4_,7.14706,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,88,91,Vinyl Chloride Monomer,,,5.83046,___4_,5.83046,,,0.42159,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,89,92,Xylenes (individual or mixed isomers),,,60.702,___4_,60.702,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,90,93,Zinc and compounds,,,,,,,,7.16703,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,11,12,Arsenic & compounds,0.0274437,___4_,,,0.0274437,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,14,15,Beryllium & compounds,0.000164789,___4_,,,0.000164789,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,18,19,Cadmium & compounds,0.150845,___4_,,,0.150845,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,20,21,Carbon monoxide,11535.2,___4_,,,11535.2,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,26,27,Chromium (III) compounds,0.192042,___4_,,,0.192042,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,28,29,Cobalt & compounds,0.0111549,___4_,,,0.0111549,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,29,30,Copper & compounds,0.11662,___4_,,,0.11662,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,52,53,Lead & compounds,0.0684507,___4_,,,0.0684507,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,54,55,Manganese & compounds,0.0522254,___4_,,,0.0522254,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,55,56,Mercury & compounds,0.0356197,___4_,,,0.0356197,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,64,65,Nickel & compounds,0.287747,___4_,,,0.287747,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,69,70,Oxides of Nitrogen,37711.3,___4_,,,37711.3,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,92,71,Particulate Matter ?2.5 µm (PM2.5),1014.09,___4_,,,1014.09,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,70,72,Particulate Matter ?10.0 µm (PM10),1014.09,___4_,,,1014.09,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,73,76,Polychlorinated dioxins and furans (TEQ),6.78E-07,___4_,,,6.78E-07,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,74,77,Polycyclic aromatic hydrocarbons (B[a]Peq),0.0874648,___4_,,,0.0874648,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,75,78,Selenium & compounds,0.00325141,___4_,,,0.00325141,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,77,80,Sulfur dioxide,151.2,___4_,,,151.2,,,,,Riverstone,NSW,2765,-33.66814,150.900607,A J Bush and Sons Riverstone NSW (836)
